,timestamp,event,duration,deviceId,copyKind,payload,bandwidth,pkt_src,pkt_dst,pid,tid,name,category
49,1545575265.372035,786432017,0.00064,1,1,7864320,11.442036,0,1,1,16,[gpu1]CUDA_COPY_H2D_7864320B,0
50,1545575265.3726768,63917,1e-06,1,0,639,0.642291,0,0,1,16,[gpu1][CUDA memset],0
51,1545575265.3726802,524288017,0.00042199999999999996,1,1,5242880,11.561085,0,1,1,14,[gpu1]CUDA_COPY_H2D_5242880B,0
52,1545575265.372695,17,0.0037450000000000005,1,0,0,0.0,0,0,1,16,[gpu1]maxwell_dgemm_64x64_nn,0
53,1545575265.373106,786432017,0.00063,1,1,7864320,11.623327,0,1,1,14,[gpu1]CUDA_COPY_H2D_7864320B,0
54,1545575265.373738,63917,1e-06,1,0,639,0.9313229999999999,0,0,1,14,[gpu1][CUDA memset],0
55,1545575265.37374,524288017,0.00042199999999999996,1,1,5242880,11.568096,0,1,1,15,[gpu1]CUDA_COPY_H2D_5242880B,0
56,1545575265.374165,786432017,0.0006349999999999999,1,1,7864320,11.541273,0,1,1,15,[gpu1]CUDA_COPY_H2D_7864320B,0
57,1545575265.3748028,63917,1e-06,1,0,639,0.8869739999999999,0,0,1,15,[gpu1][CUDA memset],0
58,1545575265.3756561,17,0.003778,1,0,0,0.0,0,0,1,14,[gpu1]maxwell_dgemm_64x64_nn,0
59,1545575265.376446,524288017,0.00042199999999999996,1,2,5242880,11.557609,1,0,1,16,[gpu1]CUDA_COPY_D2H_5242880B,0
60,1545575265.376874,314572817,0.00025499999999999996,1,1,3145728,11.504128999999999,0,1,1,16,[gpu1]CUDA_COPY_H2D_3145728B,0
61,1545575265.377132,471859217,0.00040300000000000004,1,1,4718592,10.907467,0,1,1,16,[gpu1]CUDA_COPY_H2D_4718592B,0
62,1545575265.3775382,38317,1e-06,1,0,383,0.532184,0,0,1,16,[gpu1][CUDA memset],0
63,1545575265.378648,17,0.003843,1,0,0,0.0,0,0,1,15,[gpu1]maxwell_dgemm_64x64_nn,0
64,1545575265.379441,524288017,0.00042300000000000004,1,2,5242880,11.550583,1,0,1,14,[gpu1]CUDA_COPY_D2H_5242880B,0
65,1545575265.379869,524288017,0.00042300000000000004,1,1,5242880,11.534021000000001,0,1,1,14,[gpu1]CUDA_COPY_H2D_5242880B,0
66,1545575265.380295,786432017,0.0006309999999999999,1,1,7864320,11.598589,0,1,1,14,[gpu1]CUDA_COPY_H2D_7864320B,0
67,1545575265.380929,63917,1e-06,1,0,639,0.9313229999999999,0,0,1,14,[gpu1][CUDA memset],0
68,1545575265.3816981,17,0.002877,1,0,0,0.0,0,0,1,16,[gpu1]maxwell_dgemm_64x64_nn,0
69,1545575265.382498,524288017,0.000421,1,2,5242880,11.597992,1,0,1,15,[gpu1]CUDA_COPY_D2H_5242880B,0
70,1545575265.382926,524288017,0.000421,1,1,5242880,11.600636999999999,0,1,1,15,[gpu1]CUDA_COPY_H2D_5242880B,0
71,1545575265.38335,786432017,0.0006320000000000001,1,1,7864320,11.582155,0,1,1,15,[gpu1]CUDA_COPY_H2D_7864320B,0
72,1545575265.383795,17,0.003754,1,0,0,0.0,0,0,1,14,[gpu1]maxwell_dgemm_64x64_nn,0
73,1545575265.383984,63917,1e-06,1,0,639,0.517401,0,0,1,15,[gpu1][CUDA memset],0
74,1545575265.384583,314572817,0.00027400000000000005,1,2,3145728,10.691353999999999,1,0,1,16,[gpu1]CUDA_COPY_D2H_3145728B,0
75,1545575265.386818,17,0.004282,1,0,0,0.0,0,0,1,15,[gpu1]maxwell_dgemm_64x64_nn,0
76,1545575265.387556,524288017,0.00042199999999999996,1,2,5242880,11.561085,1,0,1,14,[gpu1]CUDA_COPY_D2H_5242880B,0
77,1545575265.391103,524288017,0.00041900000000000005,1,2,5242880,11.64668,1,0,1,15,[gpu1]CUDA_COPY_D2H_5242880B,0
78,1545575265.391528,314572817,0.000252,1,1,3145728,11.613577000000001,0,1,1,17,[gpu1]CUDA_COPY_H2D_3145728B,0
79,1545575265.391783,2936012817,0.0024170000000000003,1,1,29360128,11.313839,0,1,1,17,[gpu1]CUDA_COPY_H2D_29360128B,0
80,1545575265.394204,314572817,0.000292,1,1,3145728,10.032867,0,1,1,16,[gpu1]CUDA_COPY_H2D_3145728B,0
81,1545575265.394209,17,0.017932,1,0,0,0.0,0,0,1,17,[gpu1]maxwell_dgemm_64x64_nn,0
82,1545575265.394499,2936012817,0.002463,1,1,29360128,11.103457,0,1,1,16,[gpu1]CUDA_COPY_H2D_29360128B,0
83,1545575265.396965,314572817,0.000301,1,1,3145728,9.719716,0,1,1,14,[gpu1]CUDA_COPY_H2D_3145728B,0
84,1545575265.39727,2936012817,0.00243,1,1,29360128,11.254828,0,1,1,14,[gpu1]CUDA_COPY_H2D_29360128B,0
85,1545575265.399703,314572817,0.00025299999999999997,1,1,3145728,11.593035,0,1,1,15,[gpu1]CUDA_COPY_H2D_3145728B,0
86,1545575265.399959,2936012817,0.0024,1,1,29360128,11.392123,0,1,1,15,[gpu1]CUDA_COPY_H2D_29360128B,0
87,1545575265.411884,17,0.018182,1,0,0,0.0,0,0,1,16,[gpu1]maxwell_dgemm_64x64_nn,0
88,1545575265.412145,2936012817,0.0022949999999999997,1,2,29360128,11.912925999999999,1,0,1,17,[gpu1]CUDA_COPY_D2H_29360128B,0
89,1545575265.414445,314572817,0.000252,1,1,3145728,11.646125,0,1,1,17,[gpu1]CUDA_COPY_H2D_3145728B,0
90,1545575265.4147,2936012817,0.002418,1,1,29360128,11.307256,0,1,1,17,[gpu1]CUDA_COPY_H2D_29360128B,0
91,1545575265.429554,17,0.017677000000000002,1,0,0,0.0,0,0,1,14,[gpu1]maxwell_dgemm_64x64_nn,0
92,1545575265.430069,2936012817,0.002333,1,2,29360128,11.71947,1,0,1,16,[gpu1]CUDA_COPY_D2H_29360128B,0
93,1545575265.432409,314572817,0.000254,1,1,3145728,11.554947,0,1,1,16,[gpu1]CUDA_COPY_H2D_3145728B,0
94,1545575265.432665,2936012817,0.002477,1,1,29360128,11.037763,0,1,1,16,[gpu1]CUDA_COPY_H2D_29360128B,0
95,1545575265.4466212,17,0.016918,1,0,0,0.0,0,0,1,15,[gpu1]maxwell_dgemm_64x64_nn,0
96,1545575265.44725,2936012817,0.002353,1,2,29360128,11.619233,1,0,1,14,[gpu1]CUDA_COPY_D2H_29360128B,0
97,1545575265.449612,314572817,0.000286,1,1,3145728,10.241657,0,1,1,14,[gpu1]CUDA_COPY_H2D_3145728B,0
98,1545575265.4499009,2936012817,0.002412,1,1,29360128,11.3347,0,1,1,14,[gpu1]CUDA_COPY_H2D_29360128B,0
99,1545575265.46292,17,0.016928,1,0,0,0.0,0,0,1,17,[gpu1]maxwell_dgemm_64x64_nn,0
100,1545575265.4635491,2936012817,0.002382,1,2,29360128,11.477821,1,0,1,15,[gpu1]CUDA_COPY_D2H_29360128B,0
101,1545575265.465937,314572817,0.000258,1,1,3145728,11.354322,0,1,1,15,[gpu1]CUDA_COPY_H2D_3145728B,0
102,1545575265.466197,2936012817,0.002427,1,1,29360128,11.267739,0,1,1,15,[gpu1]CUDA_COPY_H2D_29360128B,0
103,1545575265.479223,17,0.016934,1,0,0,0.0,0,0,1,16,[gpu1]maxwell_dgemm_64x64_nn,0
104,1545575265.4798539,2936012817,0.002328,1,2,29360128,11.746697,1,0,1,17,[gpu1]CUDA_COPY_D2H_29360128B,0
105,1545575265.495526,17,0.016943,1,0,0,0.0,0,0,1,14,[gpu1]maxwell_dgemm_64x64_nn,0
106,1545575265.496159,2936012817,0.002395,1,2,29360128,11.417091000000001,1,0,1,16,[gpu1]CUDA_COPY_D2H_29360128B,0
107,1545575265.49856,157286417,0.000127,1,1,1572864,11.576864,0,1,1,16,[gpu1]CUDA_COPY_H2D_1572864B,0
108,1545575265.4986892,1468006417,0.001187,1,1,14680064,11.515097,0,1,1,16,[gpu1]CUDA_COPY_H2D_14680064B,0
109,1545575265.511829,17,0.016937999999999998,1,0,0,0.0,0,0,1,15,[gpu1]maxwell_dgemm_64x64_nn,0
110,1545575265.512476,2936012817,0.002299,1,2,29360128,11.895507,1,0,1,14,[gpu1]CUDA_COPY_D2H_29360128B,0
111,1545575265.51478,314572817,0.00024900000000000004,1,1,3145728,11.761325999999999,0,1,1,14,[gpu1]CUDA_COPY_H2D_3145728B,0
112,1545575265.515032,2936012817,0.002427,1,1,29360128,11.265506,0,1,1,14,[gpu1]CUDA_COPY_H2D_29360128B,0
113,1545575265.528128,17,0.008792,1,0,0,0.0,0,0,1,16,[gpu1]maxwell_dgemm_64x64_nn,0
114,1545575265.528769,2936012817,0.002355,1,2,29360128,11.611491000000001,1,0,1,15,[gpu1]CUDA_COPY_D2H_29360128B,0
115,1545575265.5311348,314572817,0.000262,1,1,3145728,11.176894,0,1,1,15,[gpu1]CUDA_COPY_H2D_3145728B,0
116,1545575265.531399,2936012817,0.002343,1,1,29360128,11.667941,0,1,1,15,[gpu1]CUDA_COPY_H2D_29360128B,0
117,1545575265.536275,17,0.016901,1,0,0,0.0,0,0,1,14,[gpu1]maxwell_dgemm_64x64_nn,0
118,1545575265.536923,1468006417,0.001173,1,2,14680064,11.653928,1,0,1,16,[gpu1]CUDA_COPY_D2H_14680064B,0
119,1545575265.552413,17,0.017001,1,0,0,0.0,0,0,1,15,[gpu1]maxwell_dgemm_64x64_nn,0
120,1545575265.553184,2936012817,0.002288,1,2,29360128,11.948407000000001,1,0,1,14,[gpu1]CUDA_COPY_D2H_29360128B,0
121,1545575265.569418,2936012817,0.002348,1,2,29360128,11.647742,1,0,1,15,[gpu1]CUDA_COPY_D2H_29360128B,0
122,1545575265.681127,29491217,2.4e-05,1,1,294912,11.489571,0,1,1,7,[gpu1]CUDA_COPY_H2D_294912B,0
123,1545575265.6811562,747110417,0.000605,1,1,7471104,11.496982000000001,0,1,1,14,[gpu1]CUDA_COPY_H2D_7471104B,0
124,1545575265.6817641,747110417,0.000597,1,1,7471104,11.659759,0,1,1,14,[gpu1]CUDA_COPY_H2D_7471104B,0
125,1545575265.682408,17,0.001193,1,0,0,0.0,0,0,1,14,[gpu1]maxwell_dgemm_64x64_nn,0
126,1545575265.6836052,747110417,0.0005679999999999999,1,2,7471104,12.257242999999999,1,0,1,14,[gpu1]CUDA_COPY_D2H_7471104B,0
127,1545575265.705539,117964817,9e-05,1,1,1179648,12.156918,0,1,1,7,[gpu1]CUDA_COPY_H2D_1179648B,0
128,1545575265.705635,1651507217,0.001332,1,1,16515072,11.551007,0,1,1,14,[gpu1]CUDA_COPY_H2D_16515072B,0
129,1545575265.706969,1651507217,0.0013050000000000002,1,1,16515072,11.789568,0,1,1,14,[gpu1]CUDA_COPY_H2D_16515072B,0
130,1545575265.70828,17,0.004666,1,0,0,0.0,0,0,1,14,[gpu1]maxwell_dgemm_64x64_nn,0
131,1545575265.712952,1651507217,0.001254,1,2,16515072,12.266485000000001,1,0,1,14,[gpu1]CUDA_COPY_D2H_16515072B,0
132,1545575265.735051,29491217,2.4e-05,1,1,294912,11.614436999999999,0,1,1,7,[gpu1]CUDA_COPY_H2D_294912B,0
133,1545575265.73508,727449617,0.0005690000000000001,1,1,7274496,11.912503,0,1,1,14,[gpu1]CUDA_COPY_H2D_7274496B,0
134,1545575265.735651,727449617,0.000554,1,1,7274496,12.226241,0,1,1,14,[gpu1]CUDA_COPY_H2D_7274496B,0
